_id,name,comment,time
1,泥泥宝,对不起，我已经有翠花了,2023年6月13日 01:40
2,网易云世界级抖腿冠军,第一遍,2023年6月12日 22:40
3,一个人也能过的,告诉翠花，我晚上不回来了,2023年6月13日 12:37
4,阿呖喵,刀P，你真的火了，中文翻唱都有了,2023年6月14日 12:38
5,喜欢清纯甜妹,第一次听,2023年6月13日 21:47
6,暴躁土豆ing,这首歌火了的话踢我一下,2023年6月12日 23:41
7,我的枪可不长眼睛,哈哈哈不知道为什么 有一股kpop的感觉 幻听flower,2023年6月6日 20:30
8,蒋丞12138,刚去听了刀p，宝贝在干嘛那段旋律真的一样,2023年6月15日 19:45
9,林某不吃南翔小笼,"前一秒:不如翠花
下一秒:宝贝在干嘛～",2023年6月13日 07:52
10,寻欢_Uypm,刀P，你真的火了，中文翻唱都有了,2023年6月16日 20:35
11,亓栎X,对不起，我已经有翠花了,2023年6月12日 22:52
12,井井井央,刀P，你真的火了，中文翻唱都有了,2023年6月19日 16:13
13,无墨愁,啊啊啊啊啊，久命好洗脑呀,2023年6月15日 00:50
14,小析翊,后来听懂了村上春树说过的这句话: “不要太乖，不想做的事可以拒绝，做不到的事，不用勉强，不喜欢的话假装没有听见，你的人生不是用来讨好所有人，而是善待自己。”,2023年6月23日 21:35
15,攸宁0620,第一次听好土 后面越听越上头系列,2023年6月23日 20:43
16,可可喵啊,真的很上头…不知为啥,2023年06月25日 20:03
17,一泻王洋,第一次听,2023年06月25日 19:55
18,雯雯_T3ct,真心找个男朋友一起听歌dd[西西机智][西西机智][西西机智][西西机智][西西机智][西西机智][西西机智],2023年06月25日 19:55
19,重启TTG,还有《丑人多作怪》,2023年06月25日 19:54
20,TingfengRZ,抄袭蒸盒号,2023年06月25日 19:47
21,BlackRaincoat,觉得有点可爱有点搞笑哈哈,2023年06月25日 19:44
22,LQ冰可乐,上头,2023年06月25日 19:44
23,A萌萌哒180411,在这里给喜欢晚上睡觉带耳机的崽子们提个醒，戴耳机睡觉之前先用棉棒配合双氧水给你的耳道消消毒，在戴耳机，如果长时间感觉耳朵里面痒请滴用滴耳液治疗，因为崽子们的耳机一戴就是一整晚，十分容易造成外耳道细菌感染。 无意中看到这段很温柔的话，所以转发了，希望宝贝们爱护好自己的耳朵,2023年06月25日 19:43
24,玫瑰红酒激推bot,刀P，你真的火了，中文翻唱都有了,2023年06月25日 19:39
25,生汆小夢,宝贝在干嘛,2023年06月25日 19:35
26,龘蝨Y,我有小美了,2023年06月25日 19:31
27,山穹洁情君,刀P，你真的火了，中文翻唱都有了,2023年06月25日 19:29
28,凊灵庭扫地僧,刀P，你真的火了，中文翻唱都有了,2023年06月25日 19:19
29,lx楠离,翠花是城里的莎莎 说我高攀不起她,2023年06月25日 19:19
30,吃早饭等午饭-,他这声音和OLNL有点像啊,2023年06月25日 19:05
31,鱼非翔,刀P，你真的火了，中文翻唱都有了,2023年06月25日 19:01
32,慧姨姨ovo,刀P，你真的火了，中文翻唱都有了,2023年06月25日 18:59
33,雯雯_T3ct,[多多难过][多多难过][多多难过][多多难过][多多难过][多多难过][多多难过][多多难过]真心找个男朋友一起听歌dd,2023年06月25日 18:56
34,不死川SM,可是又有谁懂我呢？,2023年06月25日 18:51
35,不死川SM,可是又有谁懂我呢？,2023年06月25日 18:50
36,不能吃甜鱼,对不起 翠花等我几天,2023年06月25日 18:49
37,未听风雨眠-,宝贝在干嘛,2023年06月25日 18:41
38,叫我秌秌就好,刀P，你真的火了，中文翻唱都有了,2023年06月25日 18:36
39,ONE-绾初-七宝生日快乐,我想录个女生版的,2023年06月25日 18:33
40,狂条日记,刀p，你真的火了，中文翻唱都有了,2023年06月25日 18:29
41,狂条日记,刀p，你真的火了，中文翻唱都有了,2023年06月25日 18:29
42,狂条日记,刀p，你真的火了，中文翻唱都有了,2023年06月25日 18:29
43,狂条日记,刀p，你真的火了，中文翻唱都有了,2023年06月25日 18:29
44,狂条日记,抄袭火的捏🙃,2023年06月25日 18:28
45,狂条日记,刀p，你真的火了，中文翻唱都有了,2023年06月25日 18:27
46,爱翎0128,完了完了考试千万不要被这旋律洗脑啊啊啊啊,2023年06月25日 18:14
47,AKA_翊卿,我哪里在护着他，我只是觉得跟风叫的人很可笑,2023年06月25日 18:11
48,AKA_翊卿,怎么这里同样旋律就是抄袭，真是双标啊,2023年06月25日 18:11
49,AKA_翊卿,从开始就是发表个人意见，就因为不认同你们的刀P就好像骂了你们家人一样一个个都开始急,2023年06月25日 18:10
50,AKA_翊卿,我可没这么大能耐，还删你评论,2023年06月25日 18:05
51,爱吃可爱多呀w,第一遍,2023年06月25日 17:59
52,行为艺术咸某人,刀p你現在是真的火了,2023年06月25日 17:57
53,琪琪_XtGC,,2023年06月25日 17:55
54,楽影酱,鬼畜过来，高潮部分“宝贝在干嘛”声音真的好像boy（草,2023年06月25日 17:53
55,马骁的KEY,依托答辩,2023年06月25日 17:50
56,妈妈说名字太长会变幸运,火了,2023年06月25日 17:38
57,Pincod_顾,哥们谁删评了呀，不会是你给我删了吧？,2023年06月25日 17:37
58,aaa_没白过i,你根本不知道一个冷酷的人耳机里面是什么歌,2023年06月25日 17:06
59,御天子ovo,九漏鱼🤣👉,2023年06月25日 16:59
60,御天子ovo,确实这一句，就那一句这首歌全是那一句🤣👉,2023年06月25日 16:57
61,御天子ovo,本来就是口水歌😅,2023年06月25日 16:55
62,简单yxrezh,在鬼混,2023年06月25日 16:48
63,利利利笠,旋律和第六感好像,2023年06月25日 16:47
64,实中第一超级无敌深情,中国boy异地登陆,2023年06月25日 16:38
65,季乔重度依赖,刀p现在是真的火了，你不知道有多少眼睛盯着你看着你出错，我知道你是很真性情的孩子，也希望你能保持这份直率，但你更要严格要求自己，谨言慎行，起到表率作用，这样才能走得更远,2023年06月25日 16:38
66,炸鱼仔本仔,火了吗，没有我等一下再来,2023年06月25日 16:33
67,天之蕉子-nana,我只知道我是受害群众,2023年06月25日 16:15
